article_id,new_general_yi,new_special_yi,refinance_yi
64537,33.0,104.0,65.37
64536,19.46,20.81,65.37
64516,0.0,600.0,152.1523
64502,0.0,0.0,0.0
64501,0.0,556.0,0.0
64498,63.87,274.35,229.58
64433,12.8,17.0,0.0
64432,60.0,90.0,32.17
64431,0.0,30.34,63.25
64430,0.0,0.0,58.89
64428,0.0,350.0,216.0
64426,0.0,0.0,0.0
64412,36.0,300.0,251.0
64384,0.0,44.3,585.03
64374,0.0,302.3,181.92
64372,135.11,58.7,0.0
64490,0.0,0.0,0.0
64488,97.49,355.04,45.02
64492,30.0,0.0,0.0
64482,0.0,0.0,0.0
64453,0.0,130.0,35.29
64452,0.0,0.0,0.0
64440,0.0,0.0,0.0
64437,0.0,0.0,0.0
64473,0.0,120.0,59.7
64493,,,
64371,0.0,0.0,649.35
64329,0.0,0.0,0.0
64295,0.0,9.0,0.7
64294,0.0,98.85,0.0
64282,35.29,12.94,0.0
64254,0.0,0.0,0.0
64222,52.0,2.0,0.0
64221,0.0,0.0,0.0
64219,90.91,58.2,171.53
64210,24.0,116.71,144.08
64206,0.0,0.0,413.66
64205,0.0,954.12,965.82
64202,0.0,20.0,56.3
64201,0.0,130.0,0.0
64185,,,
64178,0.0,330.0,0.0
64172,0.0,10.0,66.98
64168,0.0,0.0,380.0
64165,0.0,0.0,0.0
64164,0.0,166.25,30.72
64163,0.0,0.0,0.0
64162,60.0,0.0,0.0
64161,0.0,0.0,0.0
64159,0.0,0.0,0.0
64229,0.0,16.57,25.79
64411,30.0,316.7,377.0
64918,0.0,302.5,119.04
64138,0.0,370.31,0.0
64131,0.0,0.0,0.0
64132,0.0,0.0,350.0
64124,0.0,37.0,484.0
64116,0.0,556.0,65.2
64115,8.5,12.12,0.0
64112,33.1,54.6,0.0
64093,0.0,0.0,217.19
64080,0.0,0.0,0.0
64035,35.57,193.16,568.79
64029,18.87,0.0,0.0
64005,113.18,0.0,33.0
63993,0.0,33.0,240.63
63992,0.0,218.15,409.49
63947,0.0,0.0,0.0
63921,40.69,200.28,82.28
63918,0.0,362.0,200.0
63917,0.0,328.0,0.0
63920,0.0,0.0,0.0
63911,0.0,0.0,40.07
63905,0.0,200.0,323.51
63891,0.0,0.0,0.0
63890,10.97,89.49,332.56
63906,50.0,410.0,0.0
69025,0.0,0.0,515.0
63939,,,
63887,10.0,0.0,50.0
63863,0.0,0.0,0.0
63860,0.0,0.0,0.0
63849,0.0,150.0,0.0
64410,0.0,300.0,45.0
64917,0.0,7.9,125.55
63855,0.0,300.0,47.0
63638,0.0,0.0,300.0
63644,0.0,32.4,385.0
67459,0.0,0.0,0.0
63635,0.0,0.0,385.0
63634,0.0,11.0,138.0
63633,72.376,292.0,446.0
64409,0.0,425.7,0.0
63631,0.0,200.0,40.0
63630,0.0,50.0,0.0
64916,0.0,99.37,248.69
63626,47.8,36.91,55.57
63623,195.0,0.0,0.0
63611,0.0,0.0,0.0
63605,30.0,0.0,73.0
63578,0.0,0.0,0.0
63574,0.0,209.03,0.0
63517,0.0,0.0,0.0
63500,,,
63476,0.0,0.0,0.0
63472,0.0,0.0,330.0
63469,0.0,100.0,0.0
63465,0.0,0.0,0.0
